timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1644399818261,657,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-23,text,true,,72549,116,8,8,https://www.amazon.com/,275,0,40
1644399817733,1290,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-18,text,true,,75298,232,8,8,https://www.amazon.com/,31,0,19
1644399817733,31,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-18,text,true,,580,116,8,8,http://www.amazon.com/,31,0,19
1644399817765,1258,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-18,text,true,,74718,116,8,8,https://www.amazon.com/,873,0,58
1644399818333,713,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-24,text,true,,74264,232,8,8,https://www.amazon.com/,45,0,22
1644399818333,45,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-24,text,true,,580,116,8,8,http://www.amazon.com/,45,0,22
1644399818379,667,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-24,text,true,,73684,116,8,8,https://www.amazon.com/,267,0,35
1644399818539,730,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-26,text,true,,74314,232,9,9,https://www.amazon.com/,30,0,21
1644399818539,30,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-26,text,true,,580,116,9,9,http://www.amazon.com/,30,0,21
1644399818570,699,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-26,text,true,,73734,116,9,9,https://www.amazon.com/,308,0,74
1644399818825,560,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-29,text,true,,72665,232,9,9,https://www.amazon.com/,49,0,21
1644399818825,49,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-29,text,true,,580,116,9,9,http://www.amazon.com/,49,0,21
1644399818874,511,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-29,text,true,,72085,116,9,9,https://www.amazon.com/,248,0,34
1644399818730,706,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-28,text,true,,72403,232,9,9,https://www.amazon.com/,41,0,28
1644399818730,41,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-28,text,true,,580,116,9,9,http://www.amazon.com/,41,0,28
1644399818771,665,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-28,text,true,,71823,116,9,9,https://www.amazon.com/,290,0,52
1644399819029,698,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-31,text,true,,73041,232,10,10,https://www.amazon.com/,32,0,16
1644399819029,32,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-31,text,true,,580,116,10,10,http://www.amazon.com/,32,0,16
1644399819062,665,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-31,text,true,,72461,116,10,10,https://www.amazon.com/,283,0,52
1644399818427,1448,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-25,text,true,,74798,232,11,11,https://www.amazon.com/,30,0,14
1644399818427,30,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-25,text,true,,580,116,11,11,http://www.amazon.com/,30,0,14
1644399818458,1417,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-25,text,true,,74218,116,11,11,https://www.amazon.com/,843,0,36
1644399819236,699,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-33,text,true,,72365,232,11,11,https://www.amazon.com/,27,0,13
1644399819236,27,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-33,text,true,,580,116,11,11,http://www.amazon.com/,27,0,13
1644399819265,670,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-33,text,true,,71785,116,11,11,https://www.amazon.com/,282,0,50
1644399818635,1315,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-27,text,true,,72124,232,10,10,https://www.amazon.com/,51,0,18
1644399818635,51,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-27,text,true,,580,116,10,10,http://www.amazon.com/,51,0,18
1644399818687,1263,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-27,text,true,,71544,116,10,10,https://www.amazon.com/,880,0,79
1644399819332,684,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-34,text,true,,75126,232,9,9,https://www.amazon.com/,30,0,13
1644399819332,30,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-34,text,true,,580,116,9,9,http://www.amazon.com/,30,0,13
1644399819363,653,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-34,text,true,,74546,116,9,9,https://www.amazon.com/,263,0,37
1644399818935,1116,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-30,text,true,,71702,232,9,9,https://www.amazon.com/,31,0,16
1644399818935,31,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-30,text,true,,580,116,9,9,http://www.amazon.com/,31,0,16
1644399818967,1084,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-30,text,true,,71122,116,9,9,https://www.amazon.com/,721,0,79
1644399819428,674,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-35,text,true,,75337,232,8,8,https://www.amazon.com/,22,0,11
1644399819428,22,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-35,text,true,,580,116,8,8,http://www.amazon.com/,22,0,11
1644399819451,651,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-35,text,true,,74757,116,8,8,https://www.amazon.com/,266,0,37
1644399819635,745,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-37,text,true,,74268,232,10,10,https://www.amazon.com/,53,0,15
1644399819635,53,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-37,text,true,,580,116,10,10,http://www.amazon.com/,53,0,15
1644399819688,692,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-37,text,true,,73688,116,10,10,https://www.amazon.com/,299,0,63
1644399819125,1287,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-32,text,true,,72447,232,9,9,https://www.amazon.com/,32,0,21
1644399819125,32,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-32,text,true,,580,116,9,9,http://www.amazon.com/,32,0,21
1644399819158,1254,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-32,text,true,,71867,116,9,9,https://www.amazon.com/,866,0,38
1644399819730,699,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-38,text,true,,74319,232,9,9,https://www.amazon.com/,31,0,14
1644399819730,31,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-38,text,true,,580,116,9,9,http://www.amazon.com/,31,0,14
1644399819762,667,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-38,text,true,,73739,116,9,9,https://www.amazon.com/,268,0,40
1644399819935,710,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-40,text,true,,72761,232,10,10,https://www.amazon.com/,26,0,13
1644399819935,26,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-40,text,true,,580,116,10,10,http://www.amazon.com/,26,0,13
1644399819961,684,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-40,text,true,,72181,116,10,10,https://www.amazon.com/,285,0,52
1644399819522,1325,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-36,text,true,,75069,232,11,11,https://www.amazon.com/,31,0,14
1644399819522,31,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-36,text,true,,580,116,11,11,http://www.amazon.com/,31,0,14
1644399819554,1293,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-36,text,true,,74489,116,11,11,https://www.amazon.com/,714,0,80
1644399820221,671,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-43,text,true,,74900,232,10,10,https://www.amazon.com/,28,0,17
1644399820221,28,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-43,text,true,,580,116,10,10,http://www.amazon.com/,28,0,17
1644399820249,643,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-43,text,true,,74320,116,10,10,https://www.amazon.com/,273,0,48
1644399820122,886,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-42,text,true,,74779,232,10,10,https://www.amazon.com/,44,0,21
1644399820122,44,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-42,text,true,,580,116,10,10,http://www.amazon.com/,44,0,21
1644399820166,842,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-42,text,true,,74199,116,10,10,https://www.amazon.com/,264,0,37
1644399819824,1272,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-39,text,true,,72314,232,9,9,https://www.amazon.com/,23,0,12
1644399819824,23,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-39,text,true,,580,116,9,9,http://www.amazon.com/,23,0,12
1644399819848,1248,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-39,text,true,,71734,116,9,9,https://www.amazon.com/,862,0,37
1644399820521,679,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-46,text,true,,74290,232,8,8,https://www.amazon.com/,28,0,15
1644399820521,28,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-46,text,true,,580,116,8,8,http://www.amazon.com/,28,0,15
1644399820549,651,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-46,text,true,,73710,116,8,8,https://www.amazon.com/,253,0,29
1644399820024,1252,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-41,text,true,,74104,232,7,7,https://www.amazon.com/,21,0,12
1644399820024,21,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-41,text,true,,580,116,7,7,http://www.amazon.com/,21,0,12
1644399820046,1230,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-41,text,true,,73524,116,7,7,https://www.amazon.com/,845,0,37
1644399820722,674,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-48,text,true,,70490,232,6,6,https://www.amazon.com/,23,0,13
1644399820722,23,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-48,text,true,,580,116,6,6,http://www.amazon.com/,23,0,13
1644399820746,650,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-48,text,true,,69910,116,6,6,https://www.amazon.com/,262,0,36
1644399820421,991,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-45,text,true,,75168,232,5,5,https://www.amazon.com/,26,0,14
1644399820421,26,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-45,text,true,,580,116,5,5,http://www.amazon.com/,26,0,14
1644399820447,965,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-45,text,true,,74588,116,5,5,https://www.amazon.com/,343,0,86
1644399820821,701,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-49,text,true,,74351,232,4,4,https://www.amazon.com/,28,0,10
1644399820821,28,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-49,text,true,,580,116,4,4,http://www.amazon.com/,28,0,10
1644399820850,672,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-49,text,true,,73771,116,4,4,https://www.amazon.com/,268,0,40
1644399820322,1280,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-44,text,true,,72546,232,3,3,https://www.amazon.com/,24,0,11
1644399820322,24,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-44,text,true,,580,116,3,3,http://www.amazon.com/,24,0,11
1644399820346,1256,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-44,text,true,,71966,116,3,3,https://www.amazon.com/,865,0,49
1644399820621,1526,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-47,text,true,,74423,232,2,2,https://www.amazon.com/,29,0,15
1644399820621,29,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-47,text,true,,580,116,2,2,http://www.amazon.com/,29,0,15
1644399820651,1496,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-47,text,true,,73843,116,2,2,https://www.amazon.com/,854,0,43
1644399820921,1272,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-50,text,true,,75108,232,1,1,https://www.amazon.com/,27,0,14
1644399820921,27,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-50,text,true,,580,116,1,1,http://www.amazon.com/,27,0,14
1644399820949,1244,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-50,text,true,,74528,116,1,1,https://www.amazon.com/,852,0,43
